"","id","mentor","education","gpa","gpa_3"
"731",95571160,0,18,1.93,0
"732",95571204,1,14,2.8,0
"733",95571306,1,15,2.39,0
"734",95571316,1,17,3.53,1
"735",95571601,1,15,1.75,0
"736",95571657,0,17,2.84,0
"737",95571877,1,13,1.56,0
"738",95572078,0,14,1.88,0
"739",95572102,1,20,3.88,1
"740",95572285,0,11,1.94,0
"741",95572306,1,19,3.98,1
"742",95572318,0,13.5,2.87,0
"743",95572405,1,15,2.84,0
"744",95572925,1,13,2.56,0
"745",95573031,0,13,2.3,0
"746",95573193,0,15,2.82,0
"747",95573233,1,19,3.4,1
"748",95573407,0,11,1.05,0
"749",95573415,1,17,2.39,0
"750",95573951,1,17,2.82,0
"751",95573994,1,15,2.52,0
"752",95574031,0,11,2,0
"753",95574234,0,13,1.88,0
"754",95574295,0,11,0,0
"755",95574333,0,15,1.77,0
"756",95574839,0,13,1.83,0
"757",95574998,0,11,1.09,0
"758",95575014,0,15,2.29,0
"759",95575029,0,13,2.39,0
"760",95575122,0,13,2,0
"761",95575134,0,17,2.03,0
"762",95575206,1,17,3.91,1
"763",95575243,0,17,3.71,1
"764",95575244,0,19,3.94,1
"765",95575319,0,20,2.92,0
"766",95575377,1,17,3.08,1
"767",95575379,1,18,3.17,1
"768",95575621,1,17,3.92,1
"769",95575805,1,20,3.78,1
"770",95575825,0,14,1.19,0
"771",95576037,1,15,3.15,1
"772",95576064,1,17,3.75,1
"773",95576114,0,17,3.61,1
"774",95576262,1,17,3.35,1
"775",95576323,1,13,2.7,0
"776",95576447,0,13,1.57,0
"777",95576759,0,14,0.78,0
"778",95576814,0,17,3.36,1
"779",95576817,1,17,3.57,1
"780",95576898,0,17,2.68,0
"781",95576904,0,13,1.7,0
"782",95577224,1,18,3.23,1
"783",95577884,1,15,1.66,0
"784",95577928,1,17,3.17,1
"785",95578046,1,17,3.56,1
"786",95578083,1,11,0.54,0
"787",95578106,0,13,2.07,0
"788",95578109,1,13,1.77,0
"789",95578148,0,15,3.77,1
"790",95578195,0,13,3,1
"791",95578206,0,13.5,1.61,0
"792",95578218,0,15,1.93,0
"793",95578380,0,13,2.25,0
"794",95578413,1,15,2.96,0
"795",95578685,1,19,2.29,0
"796",95578741,1,17,3.25,1
"797",95578894,1,15,3.48,1
"798",95578911,0,13,2.25,0
"799",95578939,1,11,1.72,0
"800",95578948,0,14,2.12,0
"801",95578995,0,15,1.79,0
"802",95579178,1,13.5,1.89,0
"803",95579276,0,13,0.9,0
"804",95579293,0,14,3.04,1
"805",95579332,1,13,2.11,0
"806",95579937,1,15,2.14,0
"807",95579943,1,15,2.78,0
"808",95579944,1,13,2.72,0
"809",95579978,0,13,2.26,0
"810",95579986,0,17,2.76,0
"811",95579989,1,15,2.48,0
"812",95579994,0,13.5,1.54,0
"813",95593009,0,15,3.4,1
"814",95593101,0,11,1.97,0
"815",95593907,0,13,1.7,0
"816",95619167,0,20,3.79,1
"817",95624976,0,13,2.17,0
"818",95678275,1,15,1.98,0
